ulcs,name,id,floor,type,draw,round,lead,nd,valid
1010,Bartram High School,1010-000,00,QA,Q,00,5,true,true
1010,Bartram High School,1010-001,00,SC,P,01,9,false,true
1010,Bartram High School,1010-002,00,CF,P,01,12,false,true
1010,Bartram High School,1010-003,00,CF,P,01,5,true,true
1010,Bartram High School,1010-003,00,KC,,,-1,false,false
1010,Bartram High School,1010-004,00,BF,P,01,5,true,true
1010,Bartram High School,1010-005,00,BF,P,01,5,true,true
1010,Bartram High School,1010-006,00,BF,P,01,20,false,true
1010,Bartram High School,1010-007,00,BF,P,01,5,true,true
1010,Bartram High School,1010-008,00,BF,P,01,-1,false,false
1010,Bartram High School,1010-009,00,KH,P,01,5,true,true
1010,Bartram High School,1010-010,00,KC,P,01,5,true,true
1010,Bartram High School,1010-011,00,KH,P,01,5,true,true
1010,Bartram High School,1010-012,00,KC,P,01,5,true,true
1010,Bartram High School,1010-013,00,KH,P,01,5,true,true
1010,Bartram High School,1010-014,00,KC,P,01,5,true,true
1010,Bartram High School,1010-015,00,CF,P,01,5,true,true
1010,Bartram High School,1010-016,00,KH,P,01,10,false,true
1010,Bartram High School,1010-017,00,KC,P,01,12,false,true
1010,Bartram High School,1010-018,00,CF,P,01,5,true,true
1010,Bartram High School,1010-019,00,KH,P,01,5,true,true
1010,Bartram High School,1010-020,00,KC,P,01,5,true,true
1010,Bartram High School,1010-021,00,WC,P,01,5,true,true
1010,Bartram High School,1010-021,00,WC,,,-1,false,false
1010,Bartram High School,1010-022,00,BF,P,01,5,true,true
1010,Bartram High School,1010-023,00,BF,P,01,5,true,true
1010,Bartram High School,1010-024,00,BF,P,01,5,true,true
1010,Bartram High School,1010-025,00,BF,P,01,5,true,true
1010,Bartram High School,1010-026,00,DW,P,01,5,true,true
1010,Bartram High School,1010-026,00,DW,,,-1,false,false
1010,Bartram High School,1010-027,00,DW,P,01,5,true,true
1010,Bartram High School,1010-027,00,DW,,,-1,false,false
1010,Bartram High School,1010-028,00,DW,P,01,8,false,true
1010,Bartram High School,1010-028,00,DW,,,-1,false,false
1010,Bartram High School,1010-029,00,DW,P,01,13,false,true
1010,Bartram High School,1010-029,00,DW,,,-1,false,false
1010,Bartram High School,1010-030,00,CF,P,01,5,true,true
1010,Bartram High School,1010-031,00,CF,P,01,5,true,true
1010,Bartram High School,1010-032,00,BF,P,01,5,true,true
1010,Bartram High School,1010-033,00,BF,P,01,19,false,true
1010,Bartram High School,1010-034,00,BF,P,01,210,false,true
1010,Bartram High School,1010-034,00,BF,F,01,45.1,false,true
1010,Bartram High School,1010-034,00,BF,P,02,131,false,true
1010,Bartram High School,1010-034,00,BF,,,-1,false,false
1010,Bartram High School,1010-035,00,BF,P,01,160,false,true
1010,Bartram High School,1010-035,00,BF,F,01,6.77,false,true
1010,Bartram High School,1010-035,00,BF,P,02,34.4,false,true
1010,Bartram High School,1010-036,00,CF,P,01,45,false,true
1010,Bartram High School,1010-036,00,CF,F,01,5,true,true
1010,Bartram High School,1010-036,00,CF,P,02,18.2,false,true
1010,Bartram High School,1010-036,00,CF,P,03,3,true,true
1010,Bartram High School,1010-037,00,DW,P,01,8,false,true
1010,Bartram High School,1010-037,00,DW,,,-1,false,false
1010,Bartram High School,1010-038,00,DW,P,01,9,false,true
1010,Bartram High School,1010-038,00,DW,,,-1,false,false
1010,Bartram High School,1010-039,00,DW,P,01,27,false,true
1010,Bartram High School,1010-039,00,DW,F,01,12,false,true
1010,Bartram High School,1010-039,00,DW,P,01R,17,false,true
1010,Bartram High School,1010-040,00,DW,P,01,94,false,true
1010,Bartram High School,1010-040,00,DW,F,01,7,false,true
1010,Bartram High School,1010-040,00,DW,,,-1,false,false
1010,Bartram High School,1010-041,00,CF,P,01,-1,false,false
1010,Bartram High School,1010-041,00,CF,,,-1,false,false
1010,Bartram High School,1010-042,00,CF,P,01,-1,false,false
1010,Bartram High School,1010-042,00,CF,,,-1,false,false
1010,Bartram High School,1010-043,00,CF,P,01,-1,false,false
1010,Bartram High School,1010-043,00,CF,,,-1,false,false
1010,Bartram High School,1010-044,00,BF,P,01,-1,false,false
1010,Bartram High School,1010-045,00,BF,P,01,5,true,true
1010,Bartram High School,1010-046,00,BF,P,01,13,false,true
1010,Bartram High School,1010-047,00,BF,P,01,5,true,true
1010,Bartram High School,1010-048,00,BF,P,01,5,true,true
1010,Bartram High School,1010-049,00,WC,P,01,5,true,true
1010,Bartram High School,1010-049,00,WC,,,-1,false,false
1010,Bartram High School,1010-050,00,CF,P,01,5,true,true
1010,Bartram High School,1010-051,00,CF,P,01,5,true,true
1010,Bartram High School,1010-052,00,CF,P,01,11,false,true
1010,Bartram High School,1010-053,00,CF,P,01,5,true,true
1010,Bartram High School,1010-054,00,CF,P,01,5,true,true
1010,Bartram High School,1010-055,00,CF,P,01,17,false,true
1010,Bartram High School,1010-056,00,CF,P,01,14,false,true
1010,Bartram High School,1010-057,01,CF,P,01,150,false,true
1010,Bartram High School,1010-057,01,CF,,,-1,false,false
1010,Bartram High School,1010-058,01,CF,P,01,290,false,true
1010,Bartram High School,1010-058,01,CF,,,-1,false,false
1010,Bartram High School,1010-058,01,CF,,,-1,false,false
1010,Bartram High School,1010-059,01,DW,P,01,8,false,true
1010,Bartram High School,1010-059,01,DW,,,-1,false,false
1010,Bartram High School,1010-060,01,DW,P,01,8,false,true
1010,Bartram High School,1010-060,01,DW,,,-1,false,false
1010,Bartram High School,1010-061,01,BF,P,01,140,false,true
1010,Bartram High School,1010-061,01,BF,F,01,5,true,true
1010,Bartram High School,1010-061,00,BF,P,02,36.1,false,true
1010,Bartram High School,1010-062,01,BF,P,01,21,false,true
1010,Bartram High School,1010-062,01,BF,F,01,5,true,true
1010,Bartram High School,1010-062,01,BF,P,02,24.4,false,true
1010,Bartram High School,1010-063,,,,,-1,false,false
1010,Bartram High School,1010-064,01,DW,P,01,9,false,true
1010,Bartram High School,1010-064,01,DW,,,-1,false,false
1010,Bartram High School,1010-065,01,DW,P,01,5,true,true
1010,Bartram High School,1010-065,01,DW,,,-1,false,false
1010,Bartram High School,1010-066,01,DW,P,01,5,true,true
1010,Bartram High School,1010-066,01,DW,,,-1,false,false
1010,Bartram High School,1010-067,01,DW,P,01,5,true,true
1010,Bartram High School,1010-067,01,DW,,,-1,false,false
1010,Bartram High School,1010-068,01,DW,P,01,5,true,true
1010,Bartram High School,1010-068,01,DW,,,-1,false,false
1010,Bartram High School,1010-069,01,DW,P,01,5,true,true
1010,Bartram High School,1010-069,01,DW,,,-1,false,false
1010,Bartram High School,1010-070,01,BF,P,01,19,false,true
1010,Bartram High School,1010-071,01,BF,P,01,6,false,true
1010,Bartram High School,1010-072,01,DW,P,01,45,false,true
1010,Bartram High School,1010-072,01,DW,F,01,15,false,true
1010,Bartram High School,1010-072,01,DW,,,-1,false,false
1010,Bartram High School,1010-073,01,DW,P,01,22,false,true
1010,Bartram High School,1010-073,01,DW,F,01,8,false,true
1010,Bartram High School,1010-073,01,DW,,,-1,false,false
1010,Bartram High School,1010-074,01,BF,P,01,41,false,true
1010,Bartram High School,1010-074,01,BF,F,01,5,true,true
1010,Bartram High School,1010-074,01,BF,P,02,11.7,false,true
1010,Bartram High School,1010-074,01,BF,P,03,3,true,true
1010,Bartram High School,1010-075,01,BF,P,01,8,false,true
1010,Bartram High School,1010-076,01,DW,P,01,5,false,true
1010,Bartram High School,1010-076,01,DW,,,-1,false,false
1010,Bartram High School,1010-077,01,DW,P,01,5,true,true
1010,Bartram High School,1010-077,01,DW,,,-1,false,false
1010,Bartram High School,1010-078,01,DW,P,01,5,true,true
1010,Bartram High School,1010-078,01,DW,,,-1,false,false
1010,Bartram High School,1010-079,01,DW,P,01,7,false,true
1010,Bartram High School,1010-079,01,DW,,,-1,false,false
1010,Bartram High School,1010-080,01,DW,P,01,5,true,true
1010,Bartram High School,1010-080,01,DW,,,-1,false,false
1010,Bartram High School,1010-081,01,DW,P,01,5,true,true
1010,Bartram High School,1010-081,01,DW,,,-1,false,false
1010,Bartram High School,1010-082,01,BF,P,01,5,true,true
1010,Bartram High School,1010-083,01,BF,P,01,7,false,true
1010,Bartram High School,1010-084,01,BF,P,01,5,true,true
1010,Bartram High School,1010-085,01,CF,P,01,5,true,true
1010,Bartram High School,1010-086,01,BF,P,01,16,false,true
1010,Bartram High School,1010-087,01,KC,P,01,5,false,true
1010,Bartram High School,1010-088,01,WC,P,01,5,true,true
1010,Bartram High School,1010-088,01,WC,,,-1,false,false
1010,Bartram High School,1010-089,01,BF,P,01,6,false,true
1010,Bartram High School,1010-090,01,DW,P,01,7,false,true
1010,Bartram High School,1010-090,01,DW,,,-1,false,false
1010,Bartram High School,1010-091,01,DW,P,01,7,false,true
1010,Bartram High School,1010-091,01,DW,,,-1,false,false
1010,Bartram High School,1010-092,02,DW,P,01,1130,false,true
1010,Bartram High School,1010-092,02,DW,F,01,7,false,true
1010,Bartram High School,1010-092,02,DW,,,-1,false,false
1010,Bartram High School,1010-093,02,DW,P,01,79,false,true
1010,Bartram High School,1010-093,02,DW,F,01,11,false,true
1010,Bartram High School,1010-093,02,DW,P,01R,49.6,false,true
1010,Bartram High School,1010-093,02,DW,P,02R,31.9,false,true
1010,Bartram High School,1010-093,02,DW,P,03R,5,true,true
1010,Bartram High School,1010-094,02,BF,P,01,6,false,true
1010,Bartram High School,1010-095,02,BF,F,01,5,true,true
1010,Bartram High School,1010-095,02,BF,P,02,5,true,true
1010,Bartram High School,1010-096,02,BF,P,01,10,false,true
1010,Bartram High School,1010-097,02,BF,P,01,-1,false,false
1010,Bartram High School,1010-098,02,DW,P,01,10,false,true
1010,Bartram High School,1010-098,02,DW,,,-1,false,false
1010,Bartram High School,1010-099,02,DW,P,01,5,true,true
1010,Bartram High School,1010-100,02,BF,P,01,64,false,true
1010,Bartram High School,1010-100,02,BF,F,01,51.3,false,true
1010,Bartram High School,1010-100,02,BF,P,02,58.1,false,true
1010,Bartram High School,1010-101,02,BF,P,01,10,false,true
1010,Bartram High School,1010-102,02,DW,P,01,26,false,true
1010,Bartram High School,1010-102,02,DW,F,01,13,false,true
1010,Bartram High School,1010-102,02,DW,,,-1,false,false
1010,Bartram High School,1010-103,02,DW,P,01,-1,false,false
1010,Bartram High School,1010-103,02,DW,,,-1,false,false
1010,Bartram High School,1010-104,02,CF,P,01,7.6,false,true
1010,Bartram High School,1010-105,02,BF,P,01,35,false,true
1010,Bartram High School,1010-105,02,BF,F,01,5.03,false,true
1010,Bartram High School,1010-105,02,BF,P,02,16.2,false,true
1010,Bartram High School,1010-105,02,BF,P,03,3,true,true
1010,Bartram High School,1010-106,02,BF,P,01,9,false,true
1010,Bartram High School,1010-107,02,DW,P,01,5,true,true
1010,Bartram High School,1010-107,02,DW,,,-1,false,false
1010,Bartram High School,1010-108,02,DW,P,01,5,true,true
1010,Bartram High School,1010-108,02,DW,,,-1,false,false
1010,Bartram High School,1010-109,02,DW,P,01,5,true,true
1010,Bartram High School,1010-109,02,DW,,,-1,false,false
1010,Bartram High School,1010-110,02,BF,P,01,12,false,true
1010,Bartram High School,1010-111,02,BF,P,01,8,false,true
1010,Bartram High School,1010-112,02,BF,P,01,13,false,true
1010,Bartram High School,1010-113,02,DW,P,01,100,false,true
1010,Bartram High School,1010-113,02,DW,F,01,100,false,true
1010,Bartram High School,1010-113,02,DW,P,01R,27.7,false,true
1010,Bartram High School,1010-113,02,DW,F,01R,15.8,false,true
1010,Bartram High School,1010-113,02,DW,F,02R,5,true,true
1010,Bartram High School,1010-113,02,DW,P,02R,11.7,false,true
1010,Bartram High School,1010-113,02,DW,,,-1,false,false
1010,Bartram High School,1010-114,02,DW,P,01,160,false,true
1010,Bartram High School,1010-114,02,DW,F,01,50,false,true
1010,Bartram High School,1010-114,02,DW,P,01R,160,false,true
1010,Bartram High School,1010-114,02,DW,F,01R,31,false,true
1010,Bartram High School,1010-114,02,DW,P,02R,180,false,true
1010,Bartram High School,1010-114,02,DW,F,02R,33,false,true
1010,Bartram High School,1010-114,02,DW,,,-1,false,false
1010,Bartram High School,1010-115,03,CF,P,01,6.8,false,true
1010,Bartram High School,1010-116,03,DW,P,01,48,false,true
1010,Bartram High School,1010-116,03,DW,F,01,7,false,true
1010,Bartram High School,1010-116,03,DW,,,-1,false,false
1010,Bartram High School,1010-117,03,DW,P,01,120,false,true
1010,Bartram High School,1010-117,03,DW,F,01,7,false,true
1010,Bartram High School,1010-117,03,DW,,,-1,false,false
1010,Bartram High School,1010-118,03,DW,P,01,11,false,true
1010,Bartram High School,1010-118,03,DW,,,-1,false,false
1010,Bartram High School,1010-119,03,DW,P,01,13,false,true
1010,Bartram High School,1010-119,03,DW,,,-1,false,false
1010,Bartram High School,1010-120,03,DW,P,01,9,false,true
1010,Bartram High School,1010-120,03,DW,,,-1,false,false
1010,Bartram High School,1010-121,03,DW,P,01,49,false,true
1010,Bartram High School,1010-121,03,DW,F,01,16,false,true
1010,Bartram High School,1010-121,03,DW,,,-1,false,false
1010,Bartram High School,1010-122,03,DW,P,01,130,false,true
1010,Bartram High School,1010-122,03,DW,F,01,21,false,true
1010,Bartram High School,1010-122,03,DW,,,-1,false,false
1010,Bartram High School,1010-123,,,,,-1,false,false
1010,Bartram High School,1010-124,03,CF,P,01,34,false,true
1010,Bartram High School,1010-124,03,CF,F,01,3,true,true
1010,Bartram High School,1010-124,03,CF,P,02,3,true,true
1010,Bartram High School,1010-124,03,CF,P,03,25.11,false,true
1010,Bartram High School,1010-124,03,CF,P,01R,18.1,false,true
1010,Bartram High School,1010-124,03,CF,,,-1,false,false
1010,Bartram High School,1010-125,03,DW,P,01,5,true,true
1010,Bartram High School,1010-125,03,DW,,,-1,false,false
1010,Bartram High School,1010-126,03,DW,P,01,5,true,true
1010,Bartram High School,1010-126,03,DW,,,-1,false,false
1010,Bartram High School,1010-127,03,BF,P,01,9,false,true
1010,Bartram High School,1010-128,03,BF,P,01,10,false,true
1010,Bartram High School,1010-129,03,BF,P,01,31,false,true
1010,Bartram High School,1010-129,03,BF,F,01,5,true,true
1010,Bartram High School,1010-129,03,BF,P,02,26.6,false,true
1010,Bartram High School,1010-130,03,BF,P,01,8,false,true
1010,Bartram High School,1010-131,03,DW,P,01,14,false,true
1010,Bartram High School,1010-131,03,DW,,,-1,false,false
1010,Bartram High School,1010-132,03,DW,P,01,370,false,true
1010,Bartram High School,1010-132,03,DW,F,01,30,false,true
1010,Bartram High School,1010-132,03,DW,P,01R,100,false,true
1010,Bartram High School,1010-132,03,DW,F,01R,8.4,false,true
1010,Bartram High School,1010-132,03,DW,P,02R,170,false,true
1010,Bartram High School,1010-132,03,DW,F,02R,14,false,true
1010,Bartram High School,1010-132,03,DW,P,03R,190,false,true
1010,Bartram High School,1010-132,03,DW,P,04R,160,false,true
1010,Bartram High School,1010-132,03,DW,,,-1,false,false
1010,Bartram High School,1010-133,03,BF,P,01,10,false,true
1010,Bartram High School,1010-134,03,BF,P,01,110,false,true
1010,Bartram High School,1010-134,03,BF,F,01,3,true,true
1010,Bartram High School,1010-134,03,BF,P,02,3,true,true
1010,Bartram High School,1010-134,03,BF,P,03,6.82,false,true
1010,Bartram High School,1010-135,03,DW,P,01,5,true,true
1010,Bartram High School,1010-135,03,DW,,,-1,false,false
1010,Bartram High School,1010-136,03,DW,P,01,5,true,true
1010,Bartram High School,1010-136,03,DW,,,-1,false,false
1010,Bartram High School,1010-137,03,DW,P,01,5,true,true
1010,Bartram High School,1010-137,03,DW,,,-1,false,false
1010,Bartram High School,1010-138,03,BF,P,01,9,false,true
1010,Bartram High School,1010-139,03,BF,P,01,5,true,true
1010,Bartram High School,1010-140,03,BF,P,01,-1,false,false
1010,Bartram High School,1010-141,03,DW,P,01,29,false,true
1010,Bartram High School,1010-141,03,DW,F,01,10,false,true
1010,Bartram High School,1010-141,03,DW,,,-1,false,false
1010,Bartram High School,1010-142,03,DW,P,01,12,false,true
1010,Bartram High School,1010-143,04,BF,P,01,48,false,true
1010,Bartram High School,1010-144,04,BF,P,01,250,false,true
1010,Bartram High School,1010-145,04,DW,P,01,-1,false,false
1010,Bartram High School,1010-145,04,DW,,,-1,false,false
1010,Bartram High School,1010-146,04,DW,P,01,-1,false,false
1010,Bartram High School,1010-146,04,DW,,,-1,false,false
1010,Bartram High School,1010-147,04,DW,P,01,-1,false,false
1010,Bartram High School,1010-147,04,DW,,,-1,false,false
1010,Bartram High School,1010-148,04,DW,P,01,-1,false,false
1010,Bartram High School,1010-148,04,DW,,,-1,false,false
1010,Bartram High School,1010-149,04,DW,P,01,-1,false,false
1010,Bartram High School,1010-149,04,DW,,,-1,false,false
1010,Bartram High School,1010-150,04,DW,P,01,-1,false,false
1010,Bartram High School,1010-150,04,DW,,,-1,false,false
1010,Bartram High School,1010-151,04,BF,P,01,21,false,true
1010,Bartram High School,1010-152,04,BF,P,01,90,false,true
1010,Bartram High School,1010-153,01,BF,P,01,5,true,true
1010,Bartram High School,1010-154,01,BF,P,01,5,true,true
1010,Bartram High School,1010-155,01,DW,P,01,-1,false,false
1010,Bartram High School,1010-155,01,DW,P,01R,5,true,true
1010,Bartram High School,1010-156,01,DW,P,01,-1,false,false
1010,Bartram High School,1010-156,01,DW,P,01R,5,true,true
1010,Bartram High School,1010-157,01,BF,P,01,5,true,true
1010,Bartram High School,1010-158,01,BF,P,01,330,false,true
1010,Bartram High School,1010-158,01,BF,F,01,23,false,true
1010,Bartram High School,1010-158,01,BF,P,02,26.7,false,true
1010,Bartram High School,1010-158,01,BF,,,-1,false,false
1010,Bartram High School,1010-158,,,,,-1,false,false
1010,Bartram High School,1010-159,01,CF,P,01,20,false,true
1010,Bartram High School,1010-159,01,CF,F,01,31.8,false,true
1010,Bartram High School,1010-159,01,CF,P,02,52.5,false,true
1010,Bartram High School,1010-159,01,CF,,,-1,false,false
1010,Bartram High School,1010-159,,,,,-1,false,false
1010,Bartram High School,1010-160,01,CF,P,01,19,false,true
1010,Bartram High School,1010-160,01,CF,,,-1,false,false
1010,Bartram High School,1010-160,,,,,-1,false,false
1010,Bartram High School,1010-161,00,IM,P,01,5,true,true
1010,Bartram High School,1010-162,00,KH,P,01,41.5,false,true
1010,Bartram High School,1010-162,00,KH,F,01,5,true,true
1010,Bartram High School,1010-162,00,KH,P,01R,44,false,true
1010,Bartram High School,1010-162,00,KH,P,02R,8.88,false,true
1010,Bartram High School,1010-163,00,KC,P,01,38,false,true
1010,Bartram High School,1010-163,00,KC,F,01,5,true,true
1010,Bartram High School,1010-163,00,KC,P,01R,57,false,true
1010,Bartram High School,1010-163,00,KC,P,02R,6.19,false,true
1010,Bartram High School,1010-164,01,KH,P,01,5,true,true
1010,Bartram High School,1010-165,01,KC,P,01,5,true,true
1010,Bartram High School,1010-165,,,,,-1,false,false
1010,Bartram High School,1010-166,01,CF,P,01,78.6,false,true
1010,Bartram High School,1010-166,01,CF,F,01,251,false,true
1010,Bartram High School,1010-166,01,CF,P,01R,32.7,false,true
1010,Bartram High School,1010-166,01,CF,F,01R,23.2,false,true
1010,Bartram High School,1010-166,01,CF,P,02R,15.4,false,true
1010,Bartram High School,1010-166,01,CF,F,02R,9.77,false,true
1010,Bartram High School,1010-166,01,CF,F,03R,5.1,false,true
1010,Bartram High School,1010-167,01,CF,P,01,173,false,true
1010,Bartram High School,1010-167,01,CF,F,01,656,false,true
1010,Bartram High School,1010-167,01,CF,,,-1,false,false
1010,Bartram High School,1010-168,01,CF,P,01,24.8,false,true
1010,Bartram High School,1010-168,01,CF,F,01,5,true,true
1010,Bartram High School,1010-168,01,CF,,,-1,false,false
1010,Bartram High School,1010-169,01,CF,P,01,42.7,false,true
1010,Bartram High School,1010-169,01,CF,F,01,5,true,true
1010,Bartram High School,1010-169,01,CF,,,-1,false,false
1010,Bartram High School,1010-170,01,KH,P,01,5,true,true
1010,Bartram High School,1010-171,01,KC,P,01,5,true,true
1010,Bartram High School,1010-172,01,CF,P,01,5,true,true
1010,Bartram High School,1010-173,01,CF,P,01,23.8,false,true
1010,Bartram High School,1010-173,01,CF,F,01,5.12,false,true
1010,Bartram High School,1010-173,01,CF,,,-1,false,false
1010,Bartram High School,1010-174,01,CF,P,01,5,true,true
1010,Bartram High School,1010-175,01,CF,P,01,1640,false,true
1010,Bartram High School,1010-175,01,CF,F,01,21.5,false,true
1010,Bartram High School,1010-175,01,CF,,,-1,false,false
1010,Bartram High School,1010-176,01,CF,P,01,115,false,true
1010,Bartram High School,1010-176,01,CF,F,01,15.4,false,true
1010,Bartram High School,1010-176,01,CF,,,-1,false,false
1010,Bartram High School,1010-177,01,CF,P,01,15.7,false,true
1010,Bartram High School,1010-178,02,CF,P,01,-1,false,false
1010,Bartram High School,1010-178,02,CF,,,-1,false,false
1010,Bartram High School,1010-179,02,CF,P,01,5.8,false,true
1010,Bartram High School,1010-180,02,CF,P,01,23.3,false,true
1010,Bartram High School,1010-180,02,CF,F,01,5,true,true
1010,Bartram High School,1010-180,02,CF,,,-1,false,false
1010,Bartram High School,1010-181,02,CF,P,01,32.4,false,true
1010,Bartram High School,1010-181,02,CF,F,01,5.05,false,true
1010,Bartram High School,1010-181,02,CF,,,-1,false,false
1010,Bartram High School,1010-182,02,CF,P,01,5,true,true
1010,Bartram High School,1010-183,02,CF,P,01,44.2,false,true
1010,Bartram High School,1010-183,02,CF,F,01,5,true,true
1010,Bartram High School,1010-183,02,CF,,,-1,false,false
1010,Bartram High School,1010-184,02,CF,P,01,124,false,true
1010,Bartram High School,1010-184,02,CF,F,01,5,true,true
1010,Bartram High School,1010-184,02,CF,,,-1,false,false
1010,Bartram High School,1010-185,02,CF,P,01,24.4,false,true
1010,Bartram High School,1010-185,02,CF,F,01,5,true,true
1010,Bartram High School,1010-185,02,CF,,,-1,false,false
1010,Bartram High School,1010-186,02,CF,P,01,40.6,false,true
1010,Bartram High School,1010-186,02,CF,F,01,5,true,true
1010,Bartram High School,1010-186,02,CF,,,-1,false,false
1010,Bartram High School,1010-187,03,KC,P,01,-1,false,false
1010,Bartram High School,1010-187,03,KC,,,-1,false,false
1010,Bartram High School,1010-188,01,BF,P,01,-1,false,false
1010,Bartram High School,1010-189,02,CF,P,01,-1,false,false
1010,Bartram High School,1010-190,01,BF,P,01,-1,false,false
1010,Bartram High School,1010-191,01,BF,P,01,-1,false,false
1010,Bartram High School,1010-192N,00,CF,P,01,2,false,true
1010,Bartram High School,1010-193,01,CF,P,01,7.8,false,true
1010,Bartram High School,1010-194,01,CF,P,01,3.8,false,true
1010,Bartram High School,1010-195,01,CF,P,01,6.3,false,true
1010,Bartram High School,1010-196,00,CF,P,01,-1,false,false
1010,Bartram High School,1010-197,00,CF,P,01,-1,false,false
1010,Bartram High School,1010-198,00,BF,P,01,-1,false,false
1010,Bartram High School,1010-199,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-200,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-201,02,CF,P,01,-1,false,false
1010,Bartram High School,1010-202,02,CF,P,01,-1,false,false
1010,Bartram High School,1010-203,03,BF,P,01,-1,false,false
1010,Bartram High School,1010-204,03,BF,P,01,-1,false,false
1010,Bartram High School,1010-205,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-206,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-207,04,CF,P,01,-1,false,false
1010,Bartram High School,1010-208,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-209,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-210,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-211,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-212,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-213,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-214,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-215,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-216,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-217,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-218,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-219,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-220,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-221,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-222,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-223,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-224,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-225,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-226,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-227,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-228,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-229,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-230,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-231,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-232,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-233,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-234,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-235,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-236,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-237,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-238,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-239,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-240,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-241,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-242,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-243,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-244,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-245,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-246,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-247,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-248,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-249,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-250,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-251,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-252,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-253,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-254,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-255,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-256,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-257,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-258,03,CF,P,01,-1,false,false
1010,Bartram High School,1010-259,01,SC,P,01,-1,false,false
1010,Bartram High School,1010-260,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-261,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-262,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-263,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-264,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-265,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-266,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-267,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-268,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-269,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-270,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-271,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-272,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-273,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-274,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-275,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-276,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-277,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-278,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-279,01,CF,P,01,-1,false,false
1010,Bartram High School,1010-280,01,CF,P,01,-1,false,false
